published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,50221527,null,"Relaxation mechanism of interfacial lattice misfit between PZT and SRO in a thin-film actuator",null,"[Shinsuke Hashimoto,Shun Kondo,Takehito Seki,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,"Ceramic Society of Japan",2025-04-01,null,"Journal of the Ceramic Society of Japan",133,4,105,111,null,null,null,scientific_journal,null,null,10.2109/jcersj2.24111,1882-0743,1348-6535,https://www.jstage.jst.go.jp/article/jcersj2/133/4/133_24111/_pdf,null,false,disclosed
insert,merge,null,50221589,null,"Atomic-scale observations of dislocation junction formation and decomposition processes in gold",null,"[Mingen Sou,Shun Kondo,Takaaki Sato,Eita Tochigi,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2025-03,null,"Scripta Materialia",258,null,116505,116505,null,null,null,scientific_journal,null,null,10.1016/j.scriptamat.2024.116505,1359-6462,null,null,null,false,disclosed
insert,merge,null,50221583,null,"Direct observations of jog formation and drag caused by screw-screw dislocation interaction",null,"[Shun Kondo,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2025-03,null,"Scripta Materialia",258,null,116513,116513,null,null,null,scientific_journal,null,null,10.1016/j.scriptamat.2024.116513,1359-6462,null,null,null,false,disclosed
insert,merge,null,47640477,null,"Fabrication of 3YSZ with single tetragonal phase by ultrafast high-temperature sintering",null,"[Ryuhei Murakami,Bin Feng,Koji Matsui,Shun Kondo,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2024-10,null,"Ceramics International",50,19,37308,37313,null,null,null,scientific_journal,null,null,10.1016/j.ceramint.2024.04.118,0272-8842,null,null,null,false,disclosed
insert,merge,null,47640474,null,"Atomistic Investigation of Grain Boundary Fracture in Alumina",null,"[Jingyuan Yan,Shun Kondo,Bin Feng,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"American Chemical Society (ACS)",2024-02-28,null,"Nano Letters",24,10,3112,3117,null,null,null,scientific_journal,null,null,10.1021/acs.nanolett.3c04875,1530-6984,1530-6992,https://pubs.acs.org/doi/pdf/10.1021/acs.nanolett.3c04875,null,false,disclosed
insert,merge,null,40208524,null,"An elastic metal-organic crystal with a densely catenated backbone",null,"[Wenjing Meng,Shun Kondo,Takuji Ito,Kazuki Komatsu,Jenny Pirillo,Yuh Hijikata,Yuichi Ikuhara,Takuzo Aida,Hiroshi Sato]",null,null,"What particular mechanical properties can be expected for materials composed of interlocked backbones has been a long-standing issue in materials science since the first reports on polycatenane and polyrotaxane in the 1970s(1-3). Here we report a three-dimensional porous metal-organic crystal, which is exceptional in that its warps and wefts are connected only by catenation. This porous crystal is composed of a tetragonal lattice and dynamically changes its geometry upon guest molecule release, uptake and exchange, and also upon temperature variation even in a low temperature range. We indented(4) the crystal along its a/b axes and obtained the Young's moduli of 1.77 +/- 0.16 GPa in N,N-dimethylformamide and 1.63 +/- 0.13 GPa in tetrahydrofuran, which are the lowest among those reported so far for porous metal-organic crystals(5). To our surprise, hydrostatic compression showed that this elastic porous crystal was the most deformable along its c axis, where 5% contraction occurred without structural deterioration upon compression up to 0.88 GPa. The crystal structure obtained at 0.46 GPa showed that the catenated macrocycles move translationally upon contraction. We anticipate our mechanically interlocked molecule-based design to be a starting point for the development of porous materials with exotic mechanical properties. For example, squeezable porous crystals that may address an essential difficulty in realizing both high abilities of guest uptake and release are on the horizon.A rubber-like, metal-organic crystal is reported with a mechanically interlocked catenane backbone, which could allow for easy guest molecule uptake and release.",null,"NATURE PORTFOLIO",2021-10,null,NATURE,598,7880,298,+,eng,null,null,scientific_journal,null,null,10.1038/s41586-021-03880-x,0028-0836,1476-4687,null,null,false,disclosed
insert,merge,null,40208522,null,"Synthesis of highly monodisperse Pd nanoparticles using a binary surfactant combination and sodium oleate as a reductant",null,"[Anna Pekkari,Xin Wen,Jessica Orrego-Hernandez,Robson Rosa da Silva,Shun Kondo,Eva Olsson,Hanna Harelind,Kasper Moth-Poulsen]",null,null,"This study presents the synthesis of monodisperse Pd nanoparticles (NPs) stabilized by sodium oleate (NaOL) and hexadecyltrimethylammonium chloride (CTAC). The synthesis was conducted without traditional reductants and Pd-precursors are reduced by NaOL. It was confirmed that the alkyl double bond in NaOL is not the only explanation for the reduction of Pd-precursors since Pd NPs could be synthesized with CTAC and the saturated fatty acid sodium stearate (NaST). A quantitative evaluation of the reduction kinetics using UV-Vis spectroscopy shows that Pd NPs synthesized with both stabilizer combinations follow pseudo first-order reaction kinetics, where NaOL provides a faster and more effective reduction of Pd-precursors. The colloidal stabilization of the NP surface by CTAC and NaOL is confirmed by Fourier transform infrared (FTIR) and nuclear magnetic resonance (NMR) analysis.",null,"ROYAL SOC CHEMISTRY",2021-05,null,"NANOSCALE ADVANCES",3,9,2481,2487,eng,null,null,scientific_journal,null,null,10.1039/d1na00052g,2516-0230,null,null,null,false,disclosed
insert,merge,null,40208525,null,"Direct observation of atomic-scale fracture path within ceramic grain boundary core",null,"[Shun Kondo,Akihito Ishihara,Eita Tochigi,Naoya Shibata,Yuichi Ikuhara]",null,null,"In fracture processes, grain boundaries behave as preferential paths for crack propagation. These grain boundary fractures proceed by the atomic-bond rupture within the grain boundary cores, and thus grain boundary structures have crucial influence on the fracture properties. However, the relationship between grain boundary structures and atomic fracture processes has been a matter of conjecture, especially in the case of dopant-segregated grain boundaries which have complicated local structures and chemistries. Here, we determine the atomic-bond breaking path within a dopant-segregated Al2O3 grain boundary core, via atomic-scale observations of the as-fractured surface and the crack tip introduced by in situ nanoindentation experiments inside a transmission electron microscope. Our observations show that the atomic fracture path is selected to produce less coordination-deficient oxygen polyhedra of dopant cations, which is rationalised using first-principles calculations. The present findings indicate that the atomic coordination geometry at the grain boundary core affects the fracture processes.",null,"NATURE PUBLISHING GROUP",2019-05,null,"NATURE COMMUNICATIONS",10,null,null,null,eng,null,null,scientific_journal,null,null,10.1038/s41467-019-10183-3,2041-1723,null,null,null,false,disclosed
insert,merge,null,40208523,null,"The core structure of 60 degrees mixed basal dislocation in alumina (alpha-Al2O3) introduced by in situ TEM nanoindentation",null,"[Bin Miao,Shun Kondo,Eita Tochigi,Jiake Wei,Bin Feng,Naoya Shibata,Yuichi Ikuhara]",null,null,"The dislocation associated with the (0001)1/3<11<(2)over bar>0> basal slip in alumina plays an important role on its plastic deformation at elevated temperatures. A 60 degrees mixed basal dislocation was preferentially introduced by in situ transmission electron microscopy (TEM) nanoindentation, and characterized by atomic-resolution scanning TEM (STEM). It was revealed that the 60 degrees mixed basal dislocation dissociates into two partial dislocations via self-climb with a stacking fault on the {1 (1) over bar 00} plane. The dissociation mechanisms of the basal dislocation have been discussed in terms of its core structure and atomic diffusion process. (C) 2019 Acta Materialia Inc. Published by Elsevier Ltd. All rights reserved.",null,"PERGAMON-ELSEVIER SCIENCE LTD",2019-04,null,"SCRIPTA MATERIALIA",163,null,157,162,eng,null,null,scientific_journal,null,null,10.1016/j.scriptamat.2019.01.011,1359-6462,null,null,null,false,disclosed
insert,merge,null,40208547,null,"Investigations of deformation twinning in sapphire by in situ TEM indentation and atomic-resolution STEM",null,"[Eita Tochigi,Miao Bin,Shun Kondo,Atsutomo Nakamura,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Oxford University Press (OUP)",2018-11-01,null,Microscopy,67,suppl_2,i22,i22,null,null,null,scientific_journal,null,null,10.1093/jmicro/dfy069,2050-5698,2050-5701,http://academic.oup.com/jmicro/article-pdf/67/suppl_2/i22/26185058/dfy069.pdf,null,false,disclosed
